"presetKey","presetKey0","presetKey1","presetKey2","keyName","nameEn","nameTransl","nameTranslLength","nameTranslWarnings","duplicateTranslation","notTranslatedName","termsEn","termsTransl","termsTranslLength","termsTranslWarnings","icon","suggestion","fields","searchable","matchScore","tags0","tags1","tags2","tags3","tags4","tagsLength","addTags0","addTags1","addTags2","addTags3","addTags4","addTagsLength","removeTags0","removeTags1","removeTags2","removeTags3","removeTags4","removeTagsLength","geometryArea","geometryLine","geometryPoint","geometryVertex","geometryRelation","endRec"
"amenity/marketplace","amenity","marketplace"," ","Marketplace","Marketplace","市场",2," "," "," ",""," ",0," "," "," ","operator,address,building_area,opening_hours"," "," ","amenity=marketplace"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point"," "," ","last"
"amenity/nightclub","amenity","nightclub"," ","Nightclub","Nightclub"," ",0," "," ","notTranslated","disco*,night club,dancing,dance club"," ",0," ","bar"," ","operator,address,building_area,opening_hours,smoking"," "," ","amenity=nightclub"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point"," "," ","last"
"amenity/parking","amenity","parking"," ","Car Parking","Car Parking"," ",0," "," ","notTranslated",""," ",0," ","parking"," ","operator,parking,capacity,fee,access_simple,supervised,park_ride,address"," "," ","amenity=parking"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point","vertex"," ","last"
"amenity/parking_entrance","amenity","parking_entrance"," ","Parking Garage Entrance/Exit","Parking Garage Entrance/Exit"," ",0," "," ","notTranslated",""," ",0," ","entrance"," ","access_simple,ref"," "," ","amenity=parking_entrance"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0," "," "," ","vertex"," ","last"
"amenity/pharmacy","amenity","pharmacy"," ","Pharmacy","Pharmacy","药房",2," ","duplicate"," ","drug,medicine"," ",0," ","pharmacy"," ","operator,address,building_area,opening_hours"," "," ","amenity=pharmacy"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point"," "," ","last"
"amenity/place_of_worship","amenity","place_of_worship"," ","Place of Worship","Place of Worship","礼拜场所",4," "," "," ","abbey,basilica,bethel,cathedral,chancel,chantry,chapel,church,fold,house of God,house of prayer,house of worship,minster,mission,mosque,oratory,parish,sacellum,sanctuary,shrine,synagogue,tabernacle,temple"," ",0," ","place-of-worship"," ","religion,denomination,address,building_area"," "," ","amenity=place_of_worship"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point"," "," ","last"
"amenity/place_of_worship/buddhist","amenity","place_of_worship","buddhist","Buddhist Temple","Buddhist Temple"," ",0," "," ","notTranslated","stupa,vihara,monastery,temple,pagoda,zendo,dojo"," ",0," ","place-of-worship"," ","denomination,building_area,address"," "," ","amenity=place_of_worship","religion=buddhist"," "," "," ",2," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point"," "," ","last"
"amenity/place_of_worship/christian","amenity","place_of_worship","christian","Church","Church","教堂",2," "," "," ","christian,abbey,basilica,bethel,cathedral,chancel,chantry,chapel,fold,house of God,house of prayer,house of worship,minster,mission,oratory,parish,sacellum,sanctuary,shrine,tabernacle,temple"," ",0," ","religious-christian"," ","denomination,building_area,address"," "," ","amenity=place_of_worship","religion=christian"," "," "," ",2," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point"," "," ","last"
"amenity/place_of_worship/jewish","amenity","place_of_worship","jewish","Synagogue","Synagogue","犹太教堂",4," "," "," ","jewish"," ",0," ","religious-jewish"," ","denomination,building_area,address"," "," ","amenity=place_of_worship","religion=jewish"," "," "," ",2," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point"," "," ","last"
"amenity/place_of_worship/muslim","amenity","place_of_worship","muslim","Mosque","Mosque","清真寺",3," "," "," ","muslim"," ",0," ","religious-muslim"," ","denomination,building_area,address"," "," ","amenity=place_of_worship","religion=muslim"," "," "," ",2," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point"," "," ","last"
